chr	start	end	Distance.to.TSS	Gene.Name	strand	6OHDA_Tag	Sham_Tag	6OHDA_NDST3_Tag	Fold.Sham	Fold.6OHDA_NDST3
chr1	3742277	3742377	-606	Xkr4	+	3.25	11.89	0.54	-3.65	-6.01
chr1	5152743	5152843	-516	Atp6v1h	+	5.50	4.40	8.50	1.24	1.54
chr1	5153001	5153101	-258	Atp6v1h	+	8.50	8.90	6.00	-1.04	-1.42
chr1	10013464	10013564	-746	Snord87	+	3.50	10.30	6.00	-2.95	1.71
chr1	10014690	10014790	-397	Snhg6	+	26.75	30.15	14.92	-1.13	-1.8
chr1	10038721	10038821	-736	Tcf24	+	8.25	6.70	7.73	1.23	-1.07
chr1	10038973	10039093	-998	Tcf24	+	13.75	12.08	9.17	1.14	-1.5
chr1	10108778	10108878	385	Cspp1	+	4.00	8.40	10.00	-2.09	2.5
chr1	10109235	10109335	842	Cspp1	+	17.00	21.60	20.00	-1.27	1.17
chr1	10116125	10116225	-543	Cspp1	+	6.25	5.19	10.42	1.2	1.66
chr1	13442698	13442798	-95	Ncoa2	+	4.50	10.30	4.00	-2.3	-1.13
chr1	13660001	13660101	83	Tram1	+	111.50	128.99	107.22	-1.16	-1.04
chr1	15875107	15875207	-713	Terf1	+	14.00	13.30	12.50	1.05	-1.12
chr1	15875392	15875493	-428	Terf1	+	4.75	7.03	6.33	-1.48	1.33
chr1	17168721	17168821	-658	Jph1	+	4.00	7.90	3.50	-1.97	-1.15
chr1	18307772	18307933	-152	Defb18	+	13.50	21.20	11.00	-1.57	-1.23
chr1	19282099	19282199	-129	Tfap2b	+	6.25	13.75	8.85	-2.19	1.41
chr1	20854590	20854690	-146	Il17f	+	17.00	8.65	7.21	1.98	-2.36
chr1	21453004	21453131	-713	Khdc1b	+	14.50	7.15	8.29	2.03	-1.75
chr1	22033295	22033395	-471	Kcnq5	+	11.25	10.57	16.88	1.06	1.5
chr1	23948932	23949057	-177	Smap1	+	13.50	12.30	16.50	1.1	1.22
chr1	24045588	24045688	-917	Sdhaf4	+	10.25	9.08	9.74	1.12	-1.05
chr1	26727261	26727390	-784	Spata31e2	+	24.75	10.69	29.19	2.31	1.18
chr1	31214856	31214956	-610	Lgsn	+	6.75	3.76	14.02	1.78	2.07
chr1	33757987	33758087	890	Gm32229	+	56.75	52.62	64.67	1.08	1.14
chr1	33946844	33946944	-46	Bend6	+	21.00	29.00	19.50	-1.38	-1.08
chr1	33947605	33947705	349	Dst	+	5.50	6.90	6.00	-1.25	1.09
