chr	start	end	Distance.to.TSS	Gene.Name	strand	6OHDA_Tag	Sham_Tag	6OHDA_NDST3_Tag	Fold.Sham	Fold.6OHDA_NDST3
chr1	3742320	3742561	-719	Xkr4	+	52.20	45.26	56.08	1.15	1.07
chr1	4855962	4856062	-63	Mrpl15	+	10.95	9.66	13.14	1.13	-1.2
chr1	4856109	4856209	-210	Mrpl15	+	15.40	16.10	19.87	-1.04	1.29
chr1	4877575	4877717	-400	Lypla1	+	16.40	12.07	32.80	1.36	2
chr1	4877724	4877864	-252	Lypla1	+	35.80	29.16	49.13	1.23	1.37
chr1	4927691	4927791	-176	Tcea1	+	17.90	10.56	18.40	1.69	1.03
chr1	4928125	4928322	306	Tcea1	+	29.85	32.16	34.83	-1.08	1.17
chr1	5089886	5089986	-174	Rgs20	+	22.35	17.64	27.94	1.27	-1.25
chr1	5090301	5090401	-589	Rgs20	+	24.10	25.39	24.60	-1.05	-1.02
chr1	6284789	6285004	10	Rb1cc1	+	21.40	22.10	27.87	-1.03	1.3
chr1	6799483	6799583	-742	St18	+	23.60	7.24	33.89	3.26	-1.44
chr1	6799613	6799713	-612	St18	+	18.90	10.45	23.35	1.81	-1.24
chr1	7158380	7158605	-652	Pcmtd1	+	47.25	43.73	54.11	1.08	1.15
chr1	9369918	9370101	93	Sntg1	+	27.85	22.12	30.83	1.26	1.11
chr1	9370482	9370582	-430	Sntg1	+	21.85	14.45	27.45	1.51	-1.26
chr1	9771105	9771225	-731	Mybl1	+	12.95	13.05	23.91	-1.01	1.84
chr1	9818485	9818585	72	Vcpip1	+	11.95	14.56	15.93	-1.22	1.33
chr1	9818703	9818803	-146	Vcpip1	+	4.45	2.58	15.58	1.73	-3.5
chr1	9867829	9867929	-476	Sgk3	+	16.40	13.58	22.36	1.21	1.36
chr1	9867980	9868080	-325	Sgk3	+	14.90	12.08	25.33	1.24	1.7
chr1	9978632	9978732	-181	Mcmdc2	+	5.45	3.03	5.95	1.81	1.09
chr1	10014250	10014419	9	Snhg6	+	14.90	9.06	14.90	1.65	-1
chr1	10079301	10079435	-7	Ppp1r42	+	25.35	22.63	30.82	1.12	1.21
chr1	10079438	10079538	-127	Ppp1r42	+	11.45	17.58	17.92	-1.54	1.56
chr1	10108042	10108210	258	Cops5	+	42.70	39.72	43.81	1.08	-1.02
chr1	10108223	10108348	99	Cops5	+	40.25	41.76	50.59	-1.04	1.26
chr1	10303112	10303212	-267	Arfgef1	+	16.90	12.07	17.40	1.4	1.03
chr1	10790218	10790318	-98	Cpa6	+	27.35	21.12	29.84	1.29	1.09
chr1	10790340	10790440	-220	Cpa6	+	26.85	18.10	46.14	1.48	1.72
chr1	10790719	10790819	-599	Cpa6	+	15.40	18.12	18.38	-1.17	1.19
chr1	12788470	12788570	-249	Sulf1	+	29.55	18.53	33.24	1.6	-1.13
chr1	12788573	12788749	-108	Sulf1	+	32.55	18.23	42.26	1.78	-1.3
chr1	13444329	13444473	-94	Ncoa2	+	20.40	16.58	31.84	1.23	1.56
chr1	13444527	13444627	-270	Ncoa2	+	18.40	26.14	30.34	-1.42	1.65
chr1	13730625	13730777	32	Lactb2	+	22.85	29.69	32.29	-1.3	1.41
chr1	14826055	14826155	85	Msc	+	11.95	11.05	14.44	1.08	1.21
chr1	15357139	15357239	40	Kcnb2	+	8.45	5.03	19.39	1.68	2.29
chr1	15875586	15875686	-234	Terf1	+	27.85	23.63	36.30	1.18	1.3
chr1	15875738	15875838	-82	Terf1	+	9.95	12.56	9.95	-1.26	-1
chr1	15962767	15962953	86	Sbspon	+	15.90	27.17	19.38	-1.71	1.22
chr1	16163485	16163585	14	4930444P10Rik	+	25.85	22.31	38.16	1.16	-1.48
chr1	16163653	16163753	-154	4930444P10Rik	+	22.85	19.63	29.31	1.17	1.28
chr1	16174834	16175090	-305	Rpl7	+	48.70	34.21	49.10	1.42	1.01
chr1	16175345	16175590	-639	Rdh10	+	38.75	24.03	40.79	1.61	-1.05
chr1	16726925	16727051	101	Eloc	+	37.30	30.16	37.80	1.24	1.01
chr1	16727266	16727449	-14	Eloc	+	14.90	21.65	22.35	-1.45	1.5
chr1	16758425	16758525	-205	Ly96	+	4.95	14.14	8.42	-2.83	1.7
chr1	17797623	17797723	32	Crispld1	+	14.90	19.63	20.86	-1.31	1.4
chr1	17797729	17797829	91	Gm16070	+	20.35	14.91	27.33	1.37	-1.34
chr1	17797864	17797981	-52	Gm16070	+	21.10	8.46	27.37	2.5	-1.3
chr1	20960541	20960641	106	6720483E21Rik	+	25.85	17.60	26.84	1.47	1.04
chr1	21021631	21021793	-138	Efhc1	+	24.10	17.16	40.84	1.4	-1.7
chr1	21149785	21150019	-453	Tram2	+	43.25	38.22	52.10	1.13	1.21
chr1	22032329	22032429	-213	Kcnq5	+	20.60	20.83	38.36	-1.01	-1.86
chr1	22032438	22032538	-322	Kcnq5	+	21.60	20.61	33.67	1.05	-1.56
chr1	22032821	22032921	3	Kcnq5	+	12.45	16.06	20.42	-1.29	1.64
chr1	22845820	22845920	-631	Rims1	+	19.15	11.69	24.22	1.64	-1.27
chr1	23800997	23801097	40	B3gat2	+	15.90	16.10	24.35	-1.01	1.53
chr1	23961362	23961462	50	Smap1	+	4.45	2.12	75.65	2.1	-17.02
chr1	24044743	24044843	-72	Sdhaf4	+	10.95	14.57	20.90	-1.33	1.91
chr1	24139870	24139970	-498	Fam135a	+	16.90	17.98	21.41	-1.06	-1.27
chr1	24717087	24717187	-488	Lmbrd1	+	24.85	17.61	25.35	1.41	1.02
chr1	24717599	24717809	79	Lmbrd1	+	22.60	22.89	24.14	-1.01	-1.07
chr1	24717822	24717922	-127	Lmbrd1	+	31.30	34.22	33.78	-1.09	1.08
chr1	26726400	26726500	91	Spata31e2	+	22.35	22.65	22.85	-1.01	1.02
chr1	26726584	26726684	-93	Spata31e2	+	22.85	33.72	23.35	-1.47	1.02
chr1	26726688	26726869	-237	Spata31e2	+	24.85	37.73	30.32	-1.52	1.22
chr1	30988068	30988168	718	Ptp4a1	+	28.60	16.85	31.20	1.69	-1.09
chr1	30988443	30988543	343	Ptp4a1	+	23.35	24.16	26.83	-1.03	1.15
chr1	30989315	30989415	413	Gm53209	+	32.55	22.35	47.90	1.46	-1.47
chr1	30989443	30989669	604	Gm53209	+	39.00	37.23	51.04	1.05	-1.31
chr1	33709130	33709230	275	1700001G17Rik	+	12.70	16.24	13.21	-1.28	-1.04
chr1	33709300	33709426	458	1700001G17Rik	+	21.10	15.26	28.72	1.38	-1.36
chr1	33709611	33709711	756	1700001G17Rik	+	15.90	10.11	19.19	1.57	-1.21
chr1	33758760	33758860	117	Gm32229	+	20.35	13.00	26.00	1.57	-1.28
chr1	33759070	33759259	187	Rab23	+	15.40	19.63	26.83	-1.27	1.74
chr1	33759849	33759949	399	Rab23	+	6.95	11.08	11.91	-1.59	1.71
chr1	33796915	33797015	-134	Bag2	+	29.05	26.66	35.08	1.09	-1.21
chr1	33797027	33797197	-281	Bag2	+	31.30	40.26	40.14	-1.28	1.28
chr1	33797310	33797410	-529	Bag2	+	22.85	17.11	22.85	1.34	-1
chr1	33946309	33946468	314	Bend6	+	23.85	15.37	36.40	1.55	-1.53
chr1	34472305	34472405	-75	Mir5103	+	18.85	8.92	27.36	2.12	-1.45
chr1	34478439	34478539	264	Ccdc115	+	4.45	8.60	4.45	-1.91	-1
chr1	34478861	34478961	1	Imp4	+	3.50	3.50	5.00	-1.01	1.43
chr1	34617883	34617983	-841	Amer3	+	8.95	15.08	21.88	-1.69	2.44
chr1	34618405	34618505	-319	Amer3	+	17.40	11.27	21.89	1.54	-1.26
chr1	34840611	34840711	-161	Arhgef4	+	21.10	10.31	56.88	2.04	-2.7
chr1	34882249	34882349	-168	Fam168b	+	21.10	15.14	27.37	1.4	-1.3
chr1	34882416	34882619	-386	Fam168b	+	35.80	25.64	40.18	1.4	1.12
chr1	34888738	34888838	-252	Plekhb2	+	21.90	18.58	29.37	1.18	1.34
chr1	34888892	34889041	-74	Plekhb2	+	28.60	17.52	32.31	1.63	-1.13
chr1	36283964	36284064	-631	Uggt1	+	13.65	4.22	25.86	3.24	-1.9
chr1	36586309	36586409	-26	Ankrd39	+	3.50	2.50	6.50	1.38	1.85
chr1	36596933	36597033	-345	Sema4c	+	20.35	14.03	27.33	1.45	-1.34
chr1	36730476	36730576	-42	Cox5b	+	2.50	8.50	5.00	-3.44	2
chr1	36749058	36749158	-102	Actr1b	+	3.50	1.50	5.50	2.31	1.57
chr1	36749168	36749268	-212	Actr1b	+	3.00	8.00	5.00	-2.7	1.66
chr1	37469051	37469151	83	Coa5	+	11.15	9.22	16.73	1.21	-1.5
chr1	37469206	37469306	36	Unc50	+	7.20	8.76	7.71	-1.21	-1.07
chr1	37469578	37469678	408	Unc50	+	11.95	13.56	12.95	-1.14	1.08
chr1	37904048	37904159	60	Tsga10	+	6.45	19.65	8.43	-3.03	1.31
chr1	37904192	37904292	-79	Tsga10	+	3.25	1.86	3.79	1.73	-1.17
chr1	37904675	37904775	-346	Tsga10	+	18.40	15.48	24.15	1.19	-1.31
chr1	37910940	37911083	192	Lipt1	+	19.90	30.15	22.89	-1.52	1.15
chr1	37911127	37911227	-123	Lipt1	+	14.40	26.18	16.88	-1.81	1.17
chr1	37911399	37911499	18	Lipt1	+	7.45	3.02	10.43	2.47	1.4
chr1	37929082	37929261	321	Mitd1	+	19.35	15.51	30.96	1.25	-1.6
chr1	38036734	38036846	-301	Eif5b	+	14.15	7.17	15.72	1.98	-1.11
chr1	38169506	38169606	-809	Rev1	+	6.45	11.59	27.29	-1.79	4.23
chr1	38937168	38937268	23	Chst10	+	7.45	7.05	18.38	1.06	2.46
chr1	39026306	39026541	-472	Pdcl3	+	49.10	40.00	72.60	1.23	-1.48
chr1	39026589	39026751	-225	Pdcl3	+	28.10	37.21	29.63	-1.33	-1.06
chr1	39026858	39026958	13	Pdcl3	+	14.90	9.56	26.82	1.56	1.8
chr1	39406189	39406289	-693	Rpl31	+	13.90	22.16	18.37	-1.59	1.32
chr1	39574655	39574755	-77	Cnot11	+	6.20	4.19	9.30	1.48	-1.5
chr1	39616663	39616763	-285	Rnf149	+	18.85	13.24	34.21	1.42	-1.82
chr1	39760086	39760186	13	Rfx8	+	25.10	18.20	27.71	1.38	-1.11
chr1	39760296	39760496	-247	Rfx8	+	31.80	20.13	44.62	1.58	1.4
chr1	39844442	39844551	-4	Gm3646	+	17.40	17.10	18.39	1.02	1.06
chr1	39844595	39844753	-182	Gm3646	+	19.85	21.42	26.86	-1.08	-1.35
chr1	39939655	39939755	-368	Map4k4	+	23.35	26.17	32.79	-1.12	1.4
chr1	40124670	40125008	172	Gm16894	+	46.75	53.79	63.06	-1.15	1.35
chr1	40264143	40264243	-47	Il1r1	+	13.65	12.71	30.51	1.07	-2.24
chr1	40829836	40829936	-69	Mfsd9	+	20.60	18.69	28.25	1.1	-1.37
chr1	40829940	40830040	-173	Mfsd9	+	18.65	13.00	23.74	1.43	-1.27
chr1	43131782	43132191	-340	Tgfbrap1	+	61.65	59.34	75.97	1.04	1.23
chr1	43137412	43137512	326	Tgfbrap1	+	40.20	30.11	64.84	1.34	-1.62
